year,country,country_code,data_categories,element,score,income_group,gni_pc,Median scores by income group,gni_logged,gni text
2022,Mongolia,MNG,All Categories,Overall score,82.3,Lower middle income,3730,42,8.224163512637862,GNI per capita (US$) is 3730
2022,Morocco,MAR,All Categories,Overall score,67,Lower middle income,3620,42,8.194229304819817,GNI per capita (US$) is 3620
2022,Myanmar,MMR,All Categories,Overall score,50.2,Lower middle income,1170,42,7.064759027791802,GNI per capita (US$) is 1170
2022,Nepal,NPL,All Categories,Overall score,42.6,Lower middle income,1220,42,7.106606137727303,GNI per capita (US$) is 1220
2022,Nicaragua,NIC,All Categories,Overall score,39.4,Lower middle income,1950,42,7.575584651557793,GNI per capita (US$) is 1950
2022,Nigeria,NGA,All Categories,Overall score,43.9,Lower middle income,2080,42,7.640123172695364,GNI per capita (US$) is 2080
2022,Pakistan,PAK,All Categories,Overall score,42.1,Lower middle income,1470,42,7.293017679772782,GNI per capita (US$) is 1470
2022,Palestine,PSE,All Categories,Overall score,72.7,Lower middle income,4220,42,8.347590407030058,GNI per capita (US$) is 4220
2022,Papua New Guinea,PNG,All Categories,Overall score,26,Lower middle income,2460,42,7.807916628926408,GNI per capita (US$) is 2460
2022,Philippines,PHL,All Categories,Overall score,63.6,Lower middle income,3550,42,8.174702882469461,GNI per capita (US$) is 3550
2022,Samoa,WSM,All Categories,Overall score,42,Lower middle income,3810,42,8.245384468120747,GNI per capita (US$) is 3810
2022,Sao Tome and Principe,STP,All Categories,Overall score,39.7,Lower middle income,2260,42,7.723120092266331,GNI per capita (US$) is 2260
2022,Senegal,SEN,All Categories,Overall score,46.6,Lower middle income,1570,42,7.358830898342354,GNI per capita (US$) is 1570
2022,Solomon Islands,SLB,All Categories,Overall score,28.1,Lower middle income,2320,42,7.749322464660356,GNI per capita (US$) is 2320
2022,Sri Lanka,LKA,All Categories,Overall score,50.1,Lower middle income,4030,42,8.301521654940728,GNI per capita (US$) is 4030
2022,Tajikistan,TJK,All Categories,Overall score,41.8,Lower middle income,1150,42,7.047517221357296,GNI per capita (US$) is 1150
2022,Tanzania,TZA,All Categories,Overall score,54.5,Lower middle income,1100,42,7.003065458786462,GNI per capita (US$) is 1100
2022,Timor-Leste,TLS,All Categories,Overall score,36.4,Lower middle income,1140,42,7.038783541388542,GNI per capita (US$) is 1140
2022,Tunisia,TUN,All Categories,Overall score,56.7,Lower middle income,3540,42,8.17188200612782,GNI per capita (US$) is 3540
2022,Ukraine,UKR,All Categories,Overall score,60.6,Lower middle income,4120,42,8.323608442343572,GNI per capita (US$) is 4120
2022,Uzbekistan,UZB,All Categories,Overall score,66.7,Lower middle income,1960,42,7.580699752224563,GNI per capita (US$) is 1960
2022,Vanuatu,VUT,All Categories,Overall score,30.4,Lower middle income,3240,42,8.083328608786376,GNI per capita (US$) is 3240
2022,Vietnam,VNM,All Categories,Overall score,54.4,Lower middle income,3590,42,8.1859074814823245,GNI per capita (US$) is 3590
2022,Zimbabwe,ZWE,All Categories,Overall score,42.7,Lower middle income,1530,42,7.333023014386481,GNI per capita (US$) is 1530
2022,Burkina Faso,BFA,All Categories,Overall score,51.1,Low income,830,38.5,6.721425700790643,GNI per capita (US$) is 830
2022,Burundi,BDI,All Categories,Overall score,40.8,Low income,220,38.5,5.393627546352362,GNI per capita (US$) is 220
2022,Central African Republic,CAF,All Categories,Overall score,26.8,Low income,480,38.5,6.173786103901937,GNI per capita (US$) is 480
2022,Chad,TCD,All Categories,Overall score,28.3,Low income,640,38.5,6.461468176353717,GNI per capita (US$) is 640
2022,"Congo, Dem. Rep.",COD,All Categories,Overall score,30.7,Low income,550,38.5,6.309918278226516,GNI per capita (US$) is 550
2022,Ethiopia,ETH,All Categories,Overall score,40.7,Low income,940,38.5,6.84587987526405,GNI per capita (US$) is 940
2022,Guinea,GIN,All Categories,Overall score,45.1,Low income,1020,38.5,6.927557906278317,GNI per capita (US$) is 1020
